gender,cursmoke,diabetes,bpmeds,bmicat,agecat,tbin,D,Y,Rate,Lower,Upper,L
1,0,0,0,3,3,3650,12,355211,3.38E-05,1.92E-05,5.95E-05,1825
1,0,0,0,3,4,3650,10,144561,6.92E-05,3.72E-05,0.000128565,1825
1,0,0,0,4,1,3650,0,25550,0,,,1825
1,0,0,0,4,2,3650,3,95532,3.14E-05,1.01E-05,9.74E-05,1825
1,0,0,0,4,3,3650,7,141358,4.95E-05,2.36E-05,0.000103873,1825
1,0,0,0,4,4,3650,12,85994,0.000139545,7.92E-05,0.000245716,1825
1,0,0,1,2,2,3650,0,3650,0,,,1825
1,0,0,1,2,3,3650,3,10221,0.000293513,9.47E-05,0.000910058,1825
1,0,0,1,2,4,3650,0,7300,0,,,1825
1,0,0,1,3,2,3650,0,1825,0,,,1825
1,0,0,1,3,3,3650,2,25947,7.71E-05,1.93E-05,0.0003082,1825
1,0,0,1,3,4,3650,2,12283,0.000162827,4.07E-05,0.000651052,1825
1,0,0,1,4,1,3650,0,1825,0,,,1825
1,0,0,1,4,2,3650,1,5993,0.000166861,2.35E-05,0.001184561,1825
1,0,0,1,4,3,3650,1,9196,0.000108743,1.53E-05,0.000771974,1825
1,0,0,1,4,4,3650,2,13492,0.000148236,3.71E-05,0.000592712,1825
1,0,1,0,2,1,3650,1,846,0.001182033,0.000166505,0.008391337,1825
1,0,1,0,2,2,3650,1,2760,0.000362319,5.10E-05,0.002572127,1825
1,0,1,0,2,3,3650,1,1951,0.000512558,7.22E-05,0.003638683,1825
1,0,1,0,2,4,3650,1,2356,0.000424448,5.98E-05,0.003013188,1825
1,0,1,0,3,2,3650,0,1825,0,,,1825
1,0,1,0,3,3,3650,2,7871,0.000254097,6.35E-05,0.001015992,1825
1,0,1,0,3,4,3650,1,7648,0.000130753,1.84E-05,0.000928226,1825
1,0,1,0,4,1,3650,0,1825,0,,,1825
1,0,1,0,4,2,3650,0,3650,0,,,1825
1,0,1,0,4,3,3650,1,2933,0.000340948,4.80E-05,0.002420413,1825
1,0,1,0,4,4,3650,1,6761,0.000147907,2.08E-05,0.001050003,1825
1,0,1,1,3,3,3650,1,1670,0.000598802,8.43E-05,0.004250941,1825
1,0,1,1,4,3,3650,0,3650,0,,,1825
1,1,0,0,1,1,3650,0,16425,0,,,1825
1,1,0,0,1,2,3650,1,12817,7.80E-05,1.10E-05,0.000553879,1825
1,1,0,0,1,3,3650,0,7300,0,,,1825
1,1,0,0,1,4,3650,1,1055,0.000947867,0.00013352,0.006728978,1825
1,1,0,0,2,1,3650,3,283514,1.06E-05,3.41E-06,3.28E-05,1825
1,1,0,0,2,2,3650,9,502967,1.79E-05,9.31E-06,3.44E-05,1825
1,1,0,0,2,3,3650,3,166312,1.80E-05,5.82E-06,5.59E-05,1825
1,1,0,0,2,4,3650,11,36873,0.000298321,0.00016521,0.00053868,1825
1,1,0,0,3,1,3650,2,71059,2.81E-05,7.04E-06,0.000112539,1825
1,1,0,0,3,2,3650,4,174967,2.29E-05,8.58E-06,6.09E-05,1825
1,1,0,0,3,3,3650,8,137894,5.80E-05,2.90E-05,0.000116008,1825
1,1,0,0,3,4,3650,1,26341,3.80E-05,5.35E-06,0.000269507,1825
1,1,0,0,4,1,3650,0,14600,0,,,1825
1,1,0,0,4,2,3650,5,54388,9.19E-05,3.83E-05,0.00022087,1825
1,1,0,0,4,3,3650,3,35306,8.50E-05,2.74E-05,0.00026346,1825
1,1,0,0,4,4,3650,4,13698,0.000292013,0.000109598,0.000778043,1825
1,1,0,1,1,2,3650,0,1825,0,,,1825
1,1,0,1,2,1,3650,0,1825,0,,,1825
1,1,0,1,2,2,3650,0,9125,0,,,1825
1,1,0,1,2,3,3650,1,2812,0.000355619,5.01E-05,0.002524563,1825
1,1,0,1,3,2,3650,0,1825,0,,,1825
1,1,0,1,3,3,3650,1,10851,9.22E-05,1.30E-05,0.000654232,1825
1,1,0,1,3,4,3650,1,6443,0.000155207,2.19E-05,0.001101827,1825
1,1,0,1,4,2,3650,0,1825,0,,,1825
1,1,0,1,4,3,3650,1,3045,0.000328407,4.63E-05,0.002331386,1825
1,1,0,1,4,4,3650,0,1825,0,,,1825
1,1,1,0,1,2,3650,0,1825,0,,,1825
1,1,1,0,1,3,3650,0,1825,0,,,1825
1,1,1,0,2,2,3650,1,5183,0.000192938,2.72E-05,0.001369684,1825
1,1,1,0,2,3,3650,0,1825,0,,,1825
1,1,1,0,3,2,3650,0,1825,0,,,1825
1,1,1,0,3,3,3650,1,4616,0.000216638,3.05E-05,0.001537927,1825
1,1,1,0,3,4,3650,0,1825,0,,,1825
1,1,1,0,4,3,3650,0,1825,0,,,1825
1,1,1,0,4,4,3650,0,1825,0,,,1825
1,0,0,0,1,1,5475,0,10950,0,,,1825
1,0,0,0,1,2,5475,0,7300,0,,,1825
1,0,0,0,1,3,5475,0,3650,0,,,1825
1,0,0,0,1,4,5475,0,3650,0,,,1825
1,0,0,0,2,1,5475,2,184917,1.08E-05,2.70E-06,4.32E-05,1825
1,0,0,0,2,2,5475,4,353852,1.13E-05,4.24E-06,3.01E-05,1825
1,0,0,0,2,3,5475,10,275580,3.63E-05,1.95E-05,6.74E-05,1825
1,0,0,0,2,4,5475,8,101846,7.86E-05,3.93E-05,0.000157069,1825
1,0,0,0,3,1,5475,3,95420,3.14E-05,1.01E-05,9.75E-05,1825
1,0,0,0,3,2,5475,5,266015,1.88E-05,7.82E-06,4.52E-05,1825
1,0,0,0,3,3,5475,20,327951,6.10E-05,3.93E-05,9.45E-05,1825
1,0,0,0,3,4,5475,15,117736,0.000127404,7.68E-05,0.00021133,1825
1,0,0,0,4,1,5475,0,25550,0,,,1825
1,0,0,0,4,2,5475,0,93075,0,,,1825
1,0,0,0,4,3,5475,9,128191,7.02E-05,3.65E-05,0.000134933,1825
1,0,0,0,4,4,5475,10,61680,0.000162127,8.72E-05,0.000301321,1825
1,0,0,1,2,2,5475,0,3650,0,,,1825
1,0,0,1,2,3,5475,0,7300,0,,,1825
1,0,0,1,2,4,5475,0,7300,0,,,1825
1,0,0,1,3,2,5475,0,1825,0,,,1825
1,0,0,1,3,3,5475,2,22726,8.80E-05,2.20E-05,0.000351882,1825
1,0,0,1,3,4,5475,1,8562,0.000116795,1.65E-05,0.000829137,1825
1,0,0,1,4,1,5475,0,1825,0,,,1825
1,0,0,1,4,2,5475,1,3767,0.000265463,3.74E-05,0.001884542,1825
1,0,0,1,4,3,5475,2,7660,0.000261097,6.53E-05,0.001043979,1825
1,0,0,1,4,4,5475,1,9551,0.000104701,1.47E-05,0.00074328,1825
1,0,1,0,2,2,5475,0,1825,0,,,1825
1,0,1,0,2,3,5475,0,1825,0,,,1825
1,0,1,0,2,4,5475,0,1825,0,,,1825
1,0,1,0,3,2,5475,0,1825,0,,,1825
1,0,1,0,3,3,5475,1,6291,0.000158957,2.24E-05,0.001128449,1825
1,0,1,0,3,4,5475,1,5638,0.000177368,2.50E-05,0.001259147,1825
1,0,1,0,4,1,5475,0,1825,0,,,1825
1,0,1,0,4,2,5475,0,3650,0,,,1825
1,0,1,0,4,3,5475,0,1825,0,,,1825
1,0,1,0,4,4,5475,3,1335,0.002247191,0.000724767,0.006967571,1825
1,0,1,1,4,3,5475,1,2193,0.000455996,6.42E-05,0.003237151,1825
1,1,0,0,1,1,5475,0,16425,0,,,1825
1,1,0,0,1,2,5475,0,12775,0,,,1825
1,1,0,0,1,3,5475,0,7300,0,,,1825
1,1,0,0,2,1,5475,6,277504,2.16E-05,9.71E-06,4.81E-05,1825
1,1,0,0,2,2,5475,15,480822,3.12E-05,1.88E-05,5.17E-05,1825
1,1,0,0,2,3,5475,11,156068,7.05E-05,3.90E-05,0.00012727,1825
1,1,0,0,2,4,5475,4,25596,0.000156274,5.87E-05,0.000416379,1825
1,1,0,0,3,1,5475,0,69350,0,,,1825
1,1,0,0,3,2,5475,8,164882,4.85E-05,2.43E-05,9.70E-05,1825
1,1,0,0,3,3,5475,11,120779,9.11E-05,5.04E-05,0.000164455,1825
1,1,0,0,3,4,5475,4,21160,0.000189036,7.09E-05,0.000503669,1825
1,1,0,0,4,1,5475,2,12636,0.000158278,3.96E-05,0.000632865,1825
1,1,0,0,4,2,5475,1,45911,2.18E-05,3.07E-06,0.000154627,1825
1,1,0,0,4,3,5475,3,31617,9.49E-05,3.06E-05,0.0002942,1825
1,1,0,0,4,4,5475,0,9125,0,,,1825
1,1,0,1,1,2,5475,0,1825,0,,,1825
1,1,0,1,2,1,5475,0,1825,0,,,1825
1,1,0,1,2,2,5475,1,8875,0.000112676,1.59E-05,0.000799895,1825
1,1,0,1,2,3,5475,0,1825,0,,,1825
1,1,0,1,3,2,5475,0,1825,0,,,1825
1,1,0,1,3,3,5475,2,7512,0.000266241,6.66E-05,0.001064547,1825
1,1,0,1,3,4,5475,3,1103,0.002719855,0.000877211,0.008433099,1825
1,1,0,1,4,2,5475,0,1825,0,,,1825
1,1,0,1,4,3,5475,0,1825,0,,,1825
1,1,0,1,4,4,5475,0,1825,0,,,1825
1,1,1,0,1,2,5475,0,1825,0,,,1825
1,1,1,0,1,3,5475,0,1825,0,,,1825
1,1,1,0,2,2,5475,1,2037,0.000490918,6.92E-05,0.003485062,1825
1,1,1,0,2,3,5475,0,1825,0,,,1825
1,1,1,0,3,2,5475,0,1825,0,,,1825
1,1,1,0,3,3,5475,0,3650,0,,,1825
1,1,1,0,3,4,5475,0,1825,0,,,1825
1,1,1,0,4,3,5475,1,1260,0.000793651,0.000111796,0.005634184,1825
1,1,1,0,4,4,5475,0,1825,0,,,1825
1,0,0,0,1,1,7300,1,8090,0.000123609,1.74E-05,0.000877512,1825
1,0,0,0,1,2,7300,0,5864,0,,,1825
1,0,0,0,1,3,7300,0,2932,0,,,1825
1,0,0,0,1,4,7300,1,1602,0.00062422,8.79E-05,0.00443138,1825
1,0,0,0,2,1,7300,1,145382,6.88E-06,9.69E-07,4.88E-05,1825
1,0,0,0,2,2,7300,3,281069,1.07E-05,3.44E-06,3.31E-05,1825
1,0,0,0,2,3,7300,15,203705,7.36E-05,4.44E-05,0.000122143,1825
1,0,0,0,2,4,7300,14,63323,0.000221089,0.00013094,0.000373302,1825
1,0,0,0,3,1,7300,2,73106,2.74E-05,6.84E-06,0.000109387,1825
1,0,0,0,3,2,7300,3,209367,1.43E-05,4.62E-06,4.44E-05,1825
1,0,0,0,3,3,7300,12,240416,4.99E-05,2.83E-05,8.79E-05,1825
1,0,0,0,3,4,7300,15,75876,0.000197691,0.000119181,0.000327919,1825
1,0,0,0,4,1,7300,0,20524,0,,,1825
1,0,0,0,4,2,7300,1,74683,1.34E-05,1.89E-06,9.51E-05,1825
1,0,0,0,4,3,7300,8,90599,8.83E-05,4.42E-05,0.000176568,1825
1,0,0,0,4,4,7300,10,34041,0.000293763,0.000158061,0.000545973,1825
1,0,0,1,2,2,7300,1,1735,0.000576369,8.12E-05,0.004091684,1825
1,0,0,1,2,3,7300,0,5864,0,,,1825
1,0,0,1,2,4,7300,2,3944,0.000507099,0.000126824,0.002027606,1825
1,0,0,1,3,2,7300,0,1466,0,,,1825
1,0,0,1,3,3,7300,1,14697,6.80E-05,9.58E-06,0.000483029,1825
1,0,0,1,3,4,7300,1,4457,0.000224366,3.16E-05,0.001592791,1825
1,0,0,1,4,1,7300,0,1466,0,,,1825
1,0,0,1,4,2,7300,0,2932,0,,,1825
1,0,0,1,4,3,7300,1,3125,0.00032,4.51E-05,0.002271703,1825
1,0,0,1,4,4,7300,2,4919,0.000406587,0.000101686,0.001625712,1825
1,0,1,0,2,2,7300,0,1466,0,,,1825
1,0,1,0,2,3,7300,0,1466,0,,,1825
1,0,1,0,2,4,7300,1,47,0.021276596,0.002997096,0.151044072,1825
1,0,1,0,3,2,7300,0,1466,0,,,1825
1,0,1,0,3,3,7300,3,3658,0.00082012,0.000264506,0.00254284,1825
1,0,1,0,3,4,7300,2,2855,0.000700525,0.0001752,0.002801007,1825
1,0,1,0,4,1,7300,0,1466,0,,,1825
1,0,1,0,4,2,7300,1,2568,0.000389408,5.49E-05,0.002764436,1825
1,0,1,0,4,3,7300,0,1466,0,,,1825
1,0,1,1,4,3,7300,0,1466,0,,,1825
1,1,0,0,1,1,7300,0,13194,0,,,1825
1,1,0,0,1,2,7300,1,9773,0.000102323,1.44E-05,0.000726396,1825
1,1,0,0,1,3,7300,2,4252,0.000470367,0.000117638,0.001880733,1825
1,1,0,0,2,1,7300,2,216502,9.24E-06,2.31E-06,3.69E-05,1825
1,1,0,0,2,2,7300,19,361162,5.26E-05,3.36E-05,8.25E-05,1825
1,1,0,0,2,3,7300,6,110006,5.45E-05,2.45E-05,0.000121405,1825
1,1,0,0,2,4,7300,3,14790,0.00020284,6.54E-05,0.000628919,1825
1,1,0,0,3,1,7300,2,53730,3.72E-05,9.31E-06,0.000148834,1825
1,1,0,0,3,2,7300,6,123719,4.85E-05,2.18E-05,0.000107948,1825
1,1,0,0,3,3,7300,9,81555,0.000110355,5.74E-05,0.000212093,1825
1,1,0,0,3,4,7300,2,13154,0.000152045,3.80E-05,0.000607943,1825
1,1,0,0,4,1,7300,0,8796,0,,,1825
1,1,0,0,4,2,7300,3,34192,8.77E-05,2.83E-05,0.000272043,1825
1,1,0,0,4,3,7300,2,20352,9.83E-05,2.46E-05,0.000392928,1825
1,1,0,0,4,4,7300,5,2716,0.001840943,0.000766251,0.004422921,1825
1,1,0,1,1,2,7300,0,1466,0,,,1825
1,1,0,1,2,1,7300,0,1466,0,,,1825
1,1,0,1,2,2,7300,0,5864,0,,,1825
1,1,0,1,2,3,7300,0,1466,0,,,1825
1,1,0,1,3,2,7300,0,1466,0,,,1825
1,1,0,1,3,3,7300,1,3989,0.000250689,3.53E-05,0.001779662,1825
1,1,0,1,4,2,7300,0,1466,0,,,1825
1,1,0,1,4,3,7300,1,822,0.001216545,0.000171367,0.00863634,1825
1,1,0,1,4,4,7300,0,1466,0,,,1825
1,1,1,0,1,2,7300,0,1466,0,,,1825
1,1,1,0,1,3,7300,0,1466,0,,,1825
1,1,1,0,2,2,7300,0,1466,0,,,1825
1,1,1,0,2,3,7300,0,1466,0,,,1825
1,1,1,0,3,2,7300,0,1466,0,,,1825
1,1,1,0,3,3,7300,1,2709,0.00036914,5.20E-05,0.002620551,1825
1,1,1,0,3,4,7300,0,1466,0,,,1825
1,1,1,0,4,4,7300,0,1466,0,,,1825
0,0,0,0,1,4,0,0,3650,0,,,1825
0,0,0,0,2,1,0,0,58400,0,,,1825
0,0,0,0,2,2,0,1,100097,9.99E-06,1.41E-06,7.09E-05,1825
0,0,0,0,2,3,0,4,99225,4.03E-05,1.51E-05,0.000107409,1825
0,0,0,0,2,4,0,4,69176,5.78E-05,2.17E-05,0.000154065,1825
0,0,0,0,3,1,0,1,114253,8.75E-06,1.23E-06,6.21E-05,1825
0,0,0,0,3,2,0,1,228748,4.37E-06,6.16E-07,3.10E-05,1825
0,0,0,0,3,3,0,6,272921,2.20E-05,9.88E-06,4.89E-05,1825
0,0,0,0,3,4,0,8,131541,6.08E-05,3.04E-05,0.000121611,1825
0,0,0,0,4,1,0,0,32850,0,,,1825
0,0,0,0,4,2,0,0,80300,0,,,1825
0,0,0,0,4,3,0,3,44487,6.74E-05,2.17E-05,0.000209088,1825
0,0,0,0,4,4,0,2,24594,8.13E-05,2.03E-05,0.000325156,1825
0,0,0,1,2,2,0,0,3650,0,,,1825
0,0,0,1,2,3,0,0,3650,0,,,1825
0,0,0,1,2,4,0,0,1825,0,,,1825
0,0,0,1,3,2,0,0,7300,0,,,1825
0,0,0,1,3,3,0,0,1825,0,,,1825
0,0,0,1,3,4,0,1,9818,0.000101854,1.43E-05,0.000723067,1825
0,0,0,1,4,2,0,0,1825,0,,,1825
0,0,0,1,4,3,0,0,7300,0,,,1825
0,0,0,1,4,4,0,0,1825,0,,,1825
0,0,1,0,1,4,0,0,1825,0,,,1825
0,0,1,0,2,3,0,1,6696,0.000149343,2.10E-05,0.001060196,1825
0,0,1,0,2,4,0,1,6918,0.00014455,2.04E-05,0.001026174,1825
0,0,1,0,3,2,0,0,9125,0,,,1825
0,0,1,0,3,3,0,2,12423,0.000160992,4.03E-05,0.000643715,1825
0,0,1,0,3,4,0,0,7300,0,,,1825
0,0,1,0,4,3,0,1,5442,0.000183756,2.59E-05,0.001304497,1825
0,0,1,0,4,4,0,0,9125,0,,,1825
0,0,1,1,3,4,0,1,832,0.001201923,0.000169307,0.008532538,1825
0,1,0,0,1,2,0,0,12775,0,,,1825
0,1,0,0,1,3,0,1,3180,0.000314465,4.43E-05,0.002232412,1825
